id,createdAt,updatedAt,archived,properties.amount,properties.closedate,properties.createdate,properties.dealname,properties.dealstage,properties.hs_lastmodifieddate,properties.hs_object_id,properties.pipeline
199288057037,2025-05-03T04:00:00Z,2025-05-06T13:02:18.363Z,False,97689,2025-06-18T04:00:00Z,2025-05-03T04:00:00Z,"Morales, Rasmussen and Burnett New Business 1744",closedlost,2025-05-06T13:02:18.363Z,199288057037,default
199288057038,2025-05-28T04:00:00Z,2025-05-06T13:02:19.482Z,False,84346,2025-08-12T04:00:00Z,2025-05-28T04:00:00Z,Lopez-Allen Renewal 676,closedwon,2025-05-06T13:02:19.482Z,199288057038,default
199288057039,2025-04-29T04:00:00Z,2025-05-06T13:02:18.363Z,False,57272,2025-07-03T04:00:00Z,2025-04-29T04:00:00Z,Martin-Green New Business 4309,closedlost,2025-05-06T13:02:18.363Z,199288057039,default
199288057040,2025-06-24T04:00:00Z,2025-05-06T13:02:19.362Z,False,72159,2025-08-23T04:00:00Z,2025-06-24T04:00:00Z,"Mcdonald, Chambers and Hampton New Business 350",closedwon,2025-05-06T13:02:19.362Z,199288057040,default
199288057041,2025-04-15T04:00:00Z,2025-05-12T09:50:59.501Z,False,78315,2025-05-26T04:00:00Z,2025-04-15T04:00:00Z,"James, Montgomery and Shelton Renewal 612",closedwon,2025-05-12T09:50:59.501Z,199288057041,default
199290357976,2025-05-15T04:00:00Z,2025-05-06T13:02:21.002Z,False,57821,2025-07-16T04:00:00Z,2025-05-15T04:00:00Z,Lopez-Smith Expansion 661,decisionmakerboughtin,2025-05-06T13:02:21.002Z,199290357976,default
199290357977,2025-05-29T04:00:00Z,2025-05-06T13:02:20.026Z,False,82665,2025-06-22T04:00:00Z,2025-05-29T04:00:00Z,"Weeks, Kim and Jones New Business 413",closedwon,2025-05-06T13:02:20.026Z,199290357977,default
199290357978,2025-04-04T04:00:00Z,2025-05-06T13:02:18.365Z,False,78883,2025-05-28T04:00:00Z,2025-04-04T04:00:00Z,Williams-Gonzalez Renewal 392,presentationscheduled,2025-05-06T13:02:18.365Z,199290357978,default
199290357979,2025-05-11T04:00:00Z,2025-05-12T09:51:02.354Z,False,85702,2025-07-04T04:00:00Z,2025-05-11T04:00:00Z,Diaz and Sons New Business 4710,closedlost,2025-05-12T09:51:02.354Z,199290357979,default
199290357980,2025-06-10T04:00:00Z,2025-05-12T09:51:02.543Z,False,97516,2025-07-28T04:00:00Z,2025-06-10T04:00:00Z,Beasley-Poole New Business 866,closedlost,2025-05-12T09:51:02.543Z,199290357980,default
199290357981,2025-06-17T04:00:00Z,2025-05-06T13:03:44.405Z,False,94035,2025-08-20T04:00:00Z,2025-06-17T04:00:00Z,Miles Group New Business 312,qualifiedtobuy,2025-05-06T13:03:44.405Z,199290357981,default
199290357982,2025-05-17T04:00:00Z,2025-05-12T09:51:00.480Z,False,64441,2025-06-28T04:00:00Z,2025-05-17T04:00:00Z,Cooper-Ortiz New Business 474,closedwon,2025-05-12T09:51:00.480Z,199290357982,default
199290357983,2025-05-05T04:00:00Z,2025-05-12T09:51:02.800Z,False,103897,2025-06-11T04:00:00Z,2025-05-05T04:00:00Z,"Daniels, Dunlap and Hill New Business 4075",presentationscheduled,2025-05-12T09:51:02.800Z,199290357983,default
199290357984,2025-04-13T04:00:00Z,2025-05-12T09:51:00.476Z,False,118401,2025-05-26T04:00:00Z,2025-04-13T04:00:00Z,"Kline, Davis and Warner New Business 2796",appointmentscheduled,2025-05-12T09:51:00.476Z,199290357984,default
199290357985,2025-06-07T04:00:00Z,2025-05-06T13:02:20.428Z,False,42925,2025-07-10T04:00:00Z,2025-06-07T04:00:00Z,May and Sons New Business 1861,appointmentscheduled,2025-05-06T13:02:20.428Z,199290357985,default
199290357986,2025-05-13T04:00:00Z,2025-05-06T13:02:20.026Z,False,94074,2025-06-19T04:00:00Z,2025-05-13T04:00:00Z,Thomas Ltd New Business 333,closedwon,2025-05-06T13:02:20.026Z,199290357986,default
199290357987,2025-06-07T04:00:00Z,2025-05-12T09:51:00.476Z,False,89327,2025-06-28T04:00:00Z,2025-06-07T04:00:00Z,Davis Group New Business 4981,closedlost,2025-05-12T09:51:00.476Z,199290357987,default
199290357988,2025-05-06T04:00:00Z,2025-05-06T13:02:20.205Z,False,83840,2025-07-04T04:00:00Z,2025-05-06T04:00:00Z,Mayer-Guerrero New Business 288,presentationscheduled,2025-05-06T13:02:20.205Z,199290357988,default
199290357989,2025-05-14T04:00:00Z,2025-05-06T13:02:20.191Z,False,91354,2025-06-14T04:00:00Z,2025-05-14T04:00:00Z,"Young, Baker and Shaw New Business 1560",closedlost,2025-05-06T13:02:20.191Z,199290357989,default
199292526826,2025-04-03T04:00:00Z,2025-05-12T09:51:01.763Z,False,71365,2025-05-19T04:00:00Z,2025-04-03T04:00:00Z,"Holmes, Moreno and Elliott New Business 1266",closedlost,2025-05-12T09:51:01.763Z,199292526826,default
199292526827,2025-04-25T04:00:00Z,2025-05-06T13:02:20.428Z,False,78081,2025-05-25T04:00:00Z,2025-04-25T04:00:00Z,Smith-Calderon New Business 1474,closedlost,2025-05-06T13:02:20.428Z,199292526827,default
199292526828,2025-05-13T04:00:00Z,2025-05-12T09:50:59.012Z,False,69504,2025-06-30T04:00:00Z,2025-05-13T04:00:00Z,"Bender, Miller and Dunn New Business 438",closedlost,2025-05-12T09:50:59.012Z,199292526828,default
199292526829,2025-05-12T04:00:00Z,2025-05-12T09:50:59.857Z,False,87184,2025-07-01T04:00:00Z,2025-05-12T04:00:00Z,Davidson Ltd Renewal 269,contractsent,2025-05-12T09:50:59.857Z,199292526829,default
199292526830,2025-05-13T04:00:00Z,2025-05-12T09:50:59.857Z,False,65361,2025-07-12T04:00:00Z,2025-05-13T04:00:00Z,"Colon, White and Alvarez New Business 4705",closedwon,2025-05-12T09:50:59.857Z,199292526830,default
199292526831,2025-06-02T04:00:00Z,2025-05-12T09:51:04.397Z,False,56988,2025-08-05T04:00:00Z,2025-06-02T04:00:00Z,Friedman-Coleman Renewal 348,closedwon,2025-05-12T09:51:04.397Z,199292526831,default
199293709523,2025-04-30T04:00:00Z,2025-05-12T09:50:59.501Z,False,49428,2025-05-29T04:00:00Z,2025-04-30T04:00:00Z,Edwards-Vance New Business 669,appointmentscheduled,2025-05-12T09:50:59.501Z,199293709523,default
199293709524,2025-06-22T04:00:00Z,2025-05-12T09:51:01.689Z,False,95563,2025-07-29T04:00:00Z,2025-06-22T04:00:00Z,Jones LLC New Business 4004,closedlost,2025-05-12T09:51:01.689Z,199293709524,default
199293709525,2025-05-05T04:00:00Z,2025-05-06T13:02:19.636Z,False,93892,2025-07-17T04:00:00Z,2025-05-05T04:00:00Z,"Williams, Duncan and Williams Expansion 445",closedlost,2025-05-06T13:02:19.636Z,199293709525,default
199293709526,2025-04-06T04:00:00Z,2025-05-06T13:02:19.876Z,False,60432,2025-05-31T04:00:00Z,2025-04-06T04:00:00Z,"Pierce, Morgan and Butler New Business 1955",closedwon,2025-05-06T13:02:19.876Z,199293709526,default
199293709527,2025-06-02T04:00:00Z,2025-05-06T13:02:20.839Z,False,72042,2025-07-08T04:00:00Z,2025-06-02T04:00:00Z,Rogers Inc Expansion 231,closedlost,2025-05-06T13:02:20.839Z,199293709527,default
199293709528,2025-05-31T04:00:00Z,2025-05-06T13:02:18.259Z,False,85916,2025-07-08T04:00:00Z,2025-05-31T04:00:00Z,Mendoza Ltd New Business 761,closedlost,2025-05-06T13:02:18.259Z,199293709528,default
199293709529,2025-04-03T04:00:00Z,2025-05-12T09:51:01.689Z,False,85567,2025-05-08T04:00:00Z,2025-04-03T04:00:00Z,"Joseph, Torres and Turner New Business 3495",closedlost,2025-05-12T09:51:01.689Z,199293709529,default
199293709530,2025-04-30T04:00:00Z,2025-05-06T13:02:20.205Z,False,93860,2025-06-11T04:00:00Z,2025-04-30T04:00:00Z,Lewis-Lopez New Business 3551,closedlost,2025-05-06T13:02:20.205Z,199293709530,default
199293709531,2025-06-20T04:00:00Z,2025-05-12T09:51:02.343Z,False,75951,2025-07-20T04:00:00Z,2025-06-20T04:00:00Z,Harmon-Mcmillan Renewal 1711,closedlost,2025-05-12T09:51:02.343Z,199293709531,default
199293709532,2025-04-21T04:00:00Z,2025-05-06T13:02:19.153Z,False,79059,2025-06-19T04:00:00Z,2025-04-21T04:00:00Z,Wilson Group New Business 773,appointmentscheduled,2025-05-06T13:02:19.153Z,199293709532,default
199295108286,2025-04-16T04:00:00Z,2025-05-12T09:51:01.687Z,False,87513,2025-05-16T04:00:00Z,2025-04-16T04:00:00Z,Bullock Group New Business 623,closedlost,2025-05-12T09:51:01.687Z,199295108286,default
199295108287,2025-06-22T04:00:00Z,2025-05-12T09:51:02.343Z,False,48988,2025-08-04T04:00:00Z,2025-06-22T04:00:00Z,Hudson-Sellers New Business 648,qualifiedtobuy,2025-05-12T09:51:02.343Z,199295108287,default
199295108288,2025-06-15T04:00:00Z,2025-05-06T13:02:19.586Z,False,82937,2025-07-15T04:00:00Z,2025-06-15T04:00:00Z,"Martinez, Patton and Dominguez Expansion 3100",closedlost,2025-05-06T13:02:19.586Z,199295108288,default
199295108289,2025-05-17T04:00:00Z,2025-05-06T13:02:18.363Z,False,66865,2025-06-10T04:00:00Z,2025-05-17T04:00:00Z,Wilson-Young New Business 911,appointmentscheduled,2025-05-06T13:02:18.363Z,199295108289,default
199295108290,2025-05-29T04:00:00Z,2025-05-06T13:02:19.362Z,False,103267,2025-07-14T04:00:00Z,2025-05-29T04:00:00Z,Salazar-James New Business 225,closedlost,2025-05-06T13:02:19.362Z,199295108290,default
199295108291,2025-05-25T04:00:00Z,2025-05-12T09:51:00.003Z,False,80208,2025-07-08T04:00:00Z,2025-05-25T04:00:00Z,Hernandez Ltd New Business 554,closedlost,2025-05-12T09:51:00.003Z,199295108291,default
199295108292,2025-05-13T04:00:00Z,2025-05-12T09:51:02.343Z,False,81298,2025-06-24T04:00:00Z,2025-05-13T04:00:00Z,Ellis-Gonzalez New Business 724,appointmentscheduled,2025-05-12T09:51:02.343Z,199295108292,default
199295108293,2025-05-06T04:00:00Z,2025-05-06T13:02:18.259Z,False,85077,2025-06-13T04:00:00Z,2025-05-06T04:00:00Z,Tate-Brown New Business 3675,closedlost,2025-05-06T13:02:18.259Z,199295108293,default
199295108294,2025-06-12T04:00:00Z,2025-05-06T13:03:54.109Z,False,89578,2025-07-02T04:00:00Z,2025-06-12T04:00:00Z,"Parker, Graham and Duncan New Business 2934",qualifiedtobuy,2025-05-06T13:03:54.109Z,199295108294,default
199295108295,2025-05-24T04:00:00Z,2025-05-12T09:51:01.689Z,False,104429,2025-06-17T04:00:00Z,2025-05-24T04:00:00Z,Christensen Inc New Business 1678,closedlost,2025-05-12T09:51:01.689Z,199295108295,default
199295108296,2025-06-06T04:00:00Z,2025-05-12T09:51:02.785Z,False,67124,2025-07-31T04:00:00Z,2025-06-06T04:00:00Z,"Cox, Jimenez and Roth Expansion 1742",decisionmakerboughtin,2025-05-12T09:51:02.785Z,199295108296,default
199295108297,2025-04-18T04:00:00Z,2025-05-06T13:02:19.482Z,False,54449,2025-06-01T04:00:00Z,2025-04-18T04:00:00Z,Wolfe-Smith New Business 1624,appointmentscheduled,2025-05-06T13:02:19.482Z,199295108297,default
199295108298,2025-04-03T04:00:00Z,2025-05-06T13:02:19.636Z,False,110911,2025-06-13T04:00:00Z,2025-04-03T04:00:00Z,"Sellers, Davis and Aguilar New Business 1075",closedlost,2025-05-06T13:02:19.636Z,199295108298,default
199295108299,2025-06-15T04:00:00Z,2025-05-06T13:02:20.485Z,False,70827,2025-07-08T04:00:00Z,2025-06-15T04:00:00Z,Vaughan PLC New Business 1574,closedlost,2025-05-06T13:02:20.485Z,199295108299,default
199296351449,2025-04-15T04:00:00Z,2025-05-06T13:02:20.285Z,False,48771,2025-06-24T04:00:00Z,2025-04-15T04:00:00Z,"Smith, Phillips and Wiggins New Business 2358",closedlost,2025-05-06T13:02:20.285Z,199296351449,default
199296351451,2025-04-12T04:00:00Z,2025-05-06T13:02:19.086Z,False,76106,2025-05-04T04:00:00Z,2025-04-12T04:00:00Z,Thompson-Graham New Business 911,closedwon,2025-05-06T13:02:19.086Z,199296351451,default
199296351452,2025-06-08T04:00:00Z,2025-05-06T13:02:20.262Z,False,89486,2025-08-06T04:00:00Z,2025-06-08T04:00:00Z,"Pacheco, Kemp and Nelson New Business 1319",closedlost,2025-05-06T13:02:20.262Z,199296351452,default
199296351453,2025-06-13T04:00:00Z,2025-05-06T13:03:53.925Z,False,116686,2025-07-29T04:00:00Z,2025-06-13T04:00:00Z,Mason Ltd New Business 885,qualifiedtobuy,2025-05-06T13:03:53.925Z,199296351453,default
199296351454,2025-06-26T04:00:00Z,2025-05-12T09:50:59.858Z,False,71826,2025-08-15T04:00:00Z,2025-06-26T04:00:00Z,"Hamilton, Rice and Gaines Renewal 689",closedwon,2025-05-12T09:50:59.858Z,199296351454,default
199296351455,2025-05-13T04:00:00Z,2025-05-06T13:02:19.040Z,False,81160,2025-06-14T04:00:00Z,2025-05-13T04:00:00Z,Ward Ltd New Business 2753,closedlost,2025-05-06T13:02:19.040Z,199296351455,default
199296351456,2025-05-25T04:00:00Z,2025-05-12T09:51:00.728Z,False,84617,2025-06-13T04:00:00Z,2025-05-25T04:00:00Z,Duncan Group New Business 913,closedwon,2025-05-12T09:51:00.728Z,199296351456,default
199296351457,2025-06-18T04:00:00Z,2025-05-12T09:51:03.533Z,False,105307,2025-08-15T04:00:00Z,2025-06-18T04:00:00Z,Garcia-Meyer New Business 711,closedwon,2025-05-12T09:51:03.533Z,199296351457,default
199296351458,2025-04-05T04:00:00Z,2025-05-06T13:02:18.838Z,False,71348,2025-05-31T04:00:00Z,2025-04-05T04:00:00Z,Mills-Smith New Business 2048,appointmentscheduled,2025-05-06T13:02:18.838Z,199296351458,default
199296351459,2025-04-14T04:00:00Z,2025-05-12T09:50:59.491Z,False,95094,2025-05-20T04:00:00Z,2025-04-14T04:00:00Z,Jarvis-Zamora New Business 3588,appointmentscheduled,2025-05-12T09:50:59.491Z,199296351459,default
199296351460,2025-05-16T04:00:00Z,2025-05-12T09:51:02.343Z,False,70595,2025-07-27T04:00:00Z,2025-05-16T04:00:00Z,Cook-Cook New Business 4594,closedlost,2025-05-12T09:51:02.343Z,199296351460,default
199296351461,2025-05-21T04:00:00Z,2025-05-06T13:02:20.799Z,False,70301,2025-06-18T04:00:00Z,2025-05-21T04:00:00Z,Weber LLC Expansion 757,presentationscheduled,2025-05-06T13:02:20.799Z,199296351461,default
199296351462,2025-04-14T04:00:00Z,2025-05-12T09:50:59.491Z,False,83165,2025-05-27T04:00:00Z,2025-04-14T04:00:00Z,Hebert Inc New Business 1083,closedwon,2025-05-12T09:50:59.491Z,199296351462,default
199296351463,2025-04-28T04:00:00Z,2025-05-12T09:51:00.476Z,False,92441,2025-05-13T04:00:00Z,2025-04-28T04:00:00Z,Hall and Sons New Business 660,closedlost,2025-05-12T09:51:00.476Z,199296351463,default
199296351464,2025-05-31T04:00:00Z,2025-05-12T09:51:02.343Z,False,87764,2025-07-04T04:00:00Z,2025-05-31T04:00:00Z,Harris-Harris Expansion 442,closedlost,2025-05-12T09:51:02.343Z,199296351464,default
199296351465,2025-05-08T04:00:00Z,2025-05-06T13:02:18.425Z,False,89815,2025-06-21T04:00:00Z,2025-05-08T04:00:00Z,"Owens, Bernard and Hamilton Expansion 1376",closedlost,2025-05-06T13:02:18.425Z,199296351465,default
199298153687,2025-04-10T04:00:00Z,2025-05-12T09:51:02.343Z,False,39546,2025-05-24T04:00:00Z,2025-04-10T04:00:00Z,"Kemp, Johnson and Cunningham Expansion 875",closedwon,2025-05-12T09:51:02.343Z,199298153687,default
199298153688,2025-06-26T04:00:00Z,2025-05-06T13:02:20.618Z,False,72685,2025-08-03T04:00:00Z,2025-06-26T04:00:00Z,"Lopez, Trevino and Santos New Business 1170",closedwon,2025-05-06T13:02:20.618Z,199298153688,default
199298153689,2025-04-10T04:00:00Z,2025-05-12T09:50:59.371Z,False,40235,2025-06-10T04:00:00Z,2025-04-10T04:00:00Z,Hampton Ltd New Business 2707,appointmentscheduled,2025-05-12T09:50:59.371Z,199298153689,default
199298153691,2025-04-24T04:00:00Z,2025-05-12T09:51:02.549Z,False,59021,2025-06-16T04:00:00Z,2025-04-24T04:00:00Z,Bullock-Johnson New Business 1315,closedlost,2025-05-12T09:51:02.549Z,199298153691,default
199298153692,2025-04-01T04:00:00Z,2025-05-06T13:02:18.259Z,False,88896,2025-05-11T04:00:00Z,2025-04-01T04:00:00Z,Miller-Adams New Business 1171,presentationscheduled,2025-05-06T13:02:18.259Z,199298153692,default
199298153693,2025-05-19T04:00:00Z,2025-05-12T09:51:02.343Z,False,77629,2025-06-26T04:00:00Z,2025-05-19T04:00:00Z,"Cole, Mann and Calhoun New Business 1535",appointmentscheduled,2025-05-12T09:51:02.343Z,199298153693,default
199298153694,2025-06-28T04:00:00Z,2025-05-12T09:50:59.491Z,False,63784,2025-08-21T04:00:00Z,2025-06-28T04:00:00Z,"Calderon, Brown and Hernandez Expansion 1943",closedlost,2025-05-12T09:50:59.491Z,199298153694,default
199298153695,2025-06-26T04:00:00Z,2025-05-06T13:02:18.425Z,False,86201,2025-09-07T04:00:00Z,2025-06-26T04:00:00Z,Perez-Griffith New Business 384,closedlost,2025-05-06T13:02:18.425Z,199298153695,default
199299820731,2025-05-13T04:00:00Z,2025-05-12T09:51:03.533Z,False,55903,2025-06-30T04:00:00Z,2025-05-13T04:00:00Z,"Cunningham, English and Mclaughlin Expansion 1193",closedwon,2025-05-12T09:51:03.533Z,199299820731,default
199299820732,2025-04-14T04:00:00Z,2025-05-12T09:51:02.343Z,False,65526,2025-06-08T04:00:00Z,2025-04-14T04:00:00Z,"Huynh, Hamilton and Wong New Business 1166",closedlost,2025-05-12T09:51:02.343Z,199299820732,default
199299820733,2025-06-26T04:00:00Z,2025-05-12T09:51:02.785Z,False,90674,2025-07-24T04:00:00Z,2025-06-26T04:00:00Z,"Jordan, Jackson and Mcmahon New Business 1527",closedlost,2025-05-12T09:51:02.785Z,199299820733,default
199299820734,2025-04-25T04:00:00Z,2025-05-06T13:02:20.026Z,False,92455,2025-05-27T04:00:00Z,2025-04-25T04:00:00Z,"Simmons, Bennett and Carter New Business 1881",closedlost,2025-05-06T13:02:20.026Z,199299820734,default
199299820735,2025-06-27T04:00:00Z,2025-05-12T09:51:01.688Z,False,87399,2025-08-13T04:00:00Z,2025-06-27T04:00:00Z,Evans Inc New Business 1519,closedwon,2025-05-12T09:51:01.688Z,199299820735,default
199299820736,2025-05-08T04:00:00Z,2025-05-12T09:50:59.371Z,False,84056,2025-06-21T04:00:00Z,2025-05-08T04:00:00Z,Holmes-Klein New Business 224,closedlost,2025-05-12T09:50:59.371Z,199299820736,default
199299820737,2025-04-30T04:00:00Z,2025-05-12T09:50:59.491Z,False,95876,2025-05-18T04:00:00Z,2025-04-30T04:00:00Z,Graham-Hernandez Renewal 1486,closedlost,2025-05-12T09:50:59.491Z,199299820737,default
199299820739,2025-05-22T04:00:00Z,2025-05-12T09:51:03.632Z,False,88396,2025-07-22T04:00:00Z,2025-05-22T04:00:00Z,"Garcia, Bailey and Green New Business 344",closedwon,2025-05-12T09:51:03.632Z,199299820739,default
199299820740,2025-06-19T04:00:00Z,2025-05-06T13:02:18.374Z,False,84984,2025-07-22T04:00:00Z,2025-06-19T04:00:00Z,"Kramer, Turner and Mckinney Renewal 4042",closedwon,2025-05-06T13:02:18.374Z,199299820740,default
199299820742,2025-06-06T04:00:00Z,2025-05-12T09:51:03.237Z,False,75874,2025-06-21T04:00:00Z,2025-06-06T04:00:00Z,"Gilbert, Mejia and Allen New Business 867",closedwon,2025-05-12T09:51:03.237Z,199299820742,default
